klucz,nazwa,wzorce,wyklucz,cena_zl,za_ilosc,jednostka,g_na_jednostke,g_szklanka,g_lyzka,g_lyzeczka,g_sztuka,okres,zrodlo,zmienna_bdl
woda,woda z kranu,woda|wody|wode|woda z kranu|wrzatek|wrzatku|wrzatkiem,gazow|mineraln|kokos|rozan|kwiat,0,1,l,1000,250,15,5,,stała,"koszt pomijalny — przyjęte przez Kuking, nie dane GUS; woda nie liczy się do pokrycia",
kielbasa_sucha,kiełbasa sucha,kielbasa sucha|kielbasy suchej|kielbase sucha,,52.02,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — kiełbasa sucha - za 1kg",8264
kielbasa,kiełbasa,kielbasa|kielbasy|kielbase|kielbaska|kielbaski|kielbasek,,32.96,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — kiełbasa - za 1 kg",1753078
szynka_drobiowa,polędwica lub szynka drobiowa,szynka drobiowa|szynki drobiowej|poledwica drobiowa|poledwicy drobiowej,,34.88,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — polędwica lub szynka drobiowa - za 1kg",1753079
szynka,szynka wieprzowa,szynka|szynki|szynke|szynka wieprzowa|szynki wieprzowej,,45.86,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — szynka wieprzowa - za 1kg",1727953
boczek_surowy,boczek surowy,boczek surowy|boczku surowego|boczek swiezy|boczku swiezego,,23.65,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — boczek surowy - za 1kg",8263
boczek_wedzony,boczek wędzony,boczek|boczku|boczek wedzony|boczku wedzonego,,39.45,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — boczek wędzony - za 1kg",4966
schab,schab bez kości,schab|schabu,,25.04,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — mięso wieprzowe bez kości (schab) - za 1 kg",633049
lopatka,łopatka wieprzowa bez kości,lopatka|lopatki|lopatke|lopatka wieprzowa|lopatki wieprzowej,wolow|jagniec|ciel,19.44,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — mięso wieprzowe bez kości (łopatka) - za 1kg",7188
wolowina,mięso wołowe z kością,wolowina|wolowiny|wolowine|mieso wolowe|miesa wolowego,,42.39,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — mięso wołowe z kością - za 1kg",1727952
kurczak,kurczak patroszony (cały),kurczak|kurczaka|kurcze|kurczecia,filet|piers|piersi|udk|udzik|skrzydel|skrzydl|podudzi|watrob|zoladk|serduszk|poledwicz,13.24,1,kg,1000,,,,1600,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — kurczęta patroszone - za 1kg",4961
kaszanka,kaszanka,kaszanka|kaszanki|kaszanke|kiszka|kiszki,,21.87,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — kiszka kaszana - za 1kg",4969
salceson,salceson,salceson|salcesonu,,29.68,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — salceson - za 1kg",8872
slonina,słonina,slonina|sloniny|slonine|sloninka|sloninki,,11.17,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — słonina - za 1kg",4985
smalec,smalec,smalec|smalcu|smalcem,,3.23,0.25,kg,1000,,12,4,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — smalec - za 250g",4986
morszczuk,filet z morszczuka mrożony,morszczuk|morszczuka|filet z morszczuka|filety z morszczuka,,40.99,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — filety z morszczuka mrożone - za 1kg",4971
makrela,makrela wędzona,makrela|makreli|makrele,,33.31,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — makrela wędzona, odgłowiona - 1kg",4974
karp,karp świeży,karp|karpia,,38.32,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — karp świeży lub chłodzony - za 1kg",1749187
mleko,"mleko krowie 3-3,5%",mleko|mleka|mlekiem,kokos|sojow|owsian|migdal|ryzow|skondensow|zageszcz|zsiadl|proszk,4.40,1,l,1000,250,15,5,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l",4975
