klucz,jednostka,gramy,uwagi
maka_pszenna,szklanka,140,szklanka 250 ml nieprzesianej mąki; USDA podaje 125 g na kubek 237 ml
maka_pszenna,lyzka,10,płaska łyżka
maka_pszenna,lyzeczka,3,
maka_pszenna_razowa,szklanka,135,
maka_pszenna_razowa,lyzka,10,
maka_zytnia,szklanka,130,USDA: 128 g na kubek mąki żytniej ciemnej
maka_zytnia,lyzka,9,
maka_ziemniaczana,szklanka,160,
maka_ziemniaczana,lyzka,12,
maka_ziemniaczana,lyzeczka,4,
maka_kukurydziana,szklanka,150,
maka_kukurydziana,lyzka,10,
skrobia_kukurydziana,lyzka,10,
skrobia_kukurydziana,lyzeczka,3,
maka_gryczana,szklanka,130,
cukier,szklanka,220,USDA: 200 g na kubek 237 ml
cukier,lyzka,15,
cukier,lyzeczka,5,
cukier_trzcinowy,szklanka,220,
cukier_trzcinowy,lyzka,15,
cukier_trzcinowy,lyzeczka,5,
cukier_puder,szklanka,125,USDA: 120 g na kubek nieprzesianego
cukier_puder,lyzka,8,USDA: 8 g na łyżkę
cukier_puder,lyzeczka,3,
cukier_waniliowy,opakowanie,16,typowa torebka
cukier_waniliowy,torebka,16,
cukier_waniliowy,lyzeczka,4,
cukier_waniliowy,lyzka,12,
miod,lyzka,20,
miod,lyzeczka,7,
proszek_do_pieczenia,lyzeczka,4,"USDA: 4,6 g na łyżeczkę"
proszek_do_pieczenia,lyzka,12,
proszek_do_pieczenia,opakowanie,18,typowa torebka
proszek_do_pieczenia,torebka,18,
soda,lyzeczka,5,
drozdze,kostka,100,kostka drożdży świeżych
drozdze,opakowanie,100,
drozdze,lyzka,15,
drozdze,lyzeczka,5,
drozdze_suszone,opakowanie,7,typowa torebka
drozdze_suszone,torebka,7,
drozdze_suszone,lyzeczka,3,
kakao,lyzka,6,"USDA: 5,4 g na łyżkę"
kakao,lyzeczka,2,
czekolada_gorzka,szt,100,tabliczka
czekolada_gorzka,tabliczka,100,
czekolada_gorzka,kostka,5,kostka z tabliczki
zelatyna,lyzeczka,3,
zelatyna,lyzka,10,
zelatyna,opakowanie,20,
zelatyna,listek,2,
sol,lyzeczka,6,USDA: 6 g na łyżeczkę
sol,lyzka,18,
pieprz,lyzeczka,2,
papryka_slodka_mielona,lyzeczka,2,
papryka_slodka_mielona,lyzka,7,
majeranek,lyzeczka,1,
majeranek,lyzka,3,
oregano,lyzeczka,1,
kminek,lyzeczka,2,
cynamon,lyzeczka,3,
cynamon,szt,3,kora cynamonu
cynamon,kawalek,3,kawałek kory
galka_muszkatolowa,lyzeczka,2,
gozdziki,szt,0.1,
lisc_laurowy,szt,0.2,
lisc_laurowy,lisc,0.2,
lisc_laurowy,listek,0.2,
ziele_angielskie,szt,0.2,
ziele_angielskie,ziarno,0.2,
imbir,kawalek,10,kawałek wielkości kciuka
imbir,lyzeczka,3,tarty
imbir,lyzka,8,tarty
imbir_mielony,lyzeczka,2,
chili,szt,15,
natka,peczek,30,
natka,lyzka,4,posiekana
natka,garsc,15,
koperek,peczek,30,
koperek,lyzka,4,posiekany
koperek,garsc,15,
szczypiorek,peczek,25,
szczypiorek,lyzka,4,posiekany
koper_suszony,lyzeczka,1,
musztarda,lyzka,15,
musztarda,lyzeczka,5,
chrzan,lyzka,15,
chrzan,lyzeczka,5,
chrzan,kawalek,30,kawałek korzenia
ocet,lyzka,15,
ocet,lyzeczka,5,
majonez,lyzka,14,"USDA: 13,8 g na łyżkę"
majonez,lyzeczka,5,
ketchup,lyzka,17,
koncentrat_pomidorowy,lyzka,17,
koncentrat_pomidorowy,lyzeczka,6,
koncentrat_pomidorowy,sloik,90,mały słoiczek
koncentrat_pomidorowy,sloiczek,90,
pomidory_z_puszki,puszka,400,z zalewą
passata,butelka,500,
passata,karton,500,
kostka_rosolowa,szt,10,
kostka_rosolowa,kostka,10,
woda,szklanka,250,
maslo,kostka,200,
maslo,szt,200,kostka
maslo,lyzka,15,
maslo,lyzeczka,5,
maslo,opakowanie,200,
margaryna,kostka,250,
margaryna,lyzka,15,
margaryna,opakowanie,250,
smalec,lyzka,13,"USDA: 12,8 g na łyżkę"
smalec,lyzeczka,4,
