klucz,nazwa,aliasy,zrodlo,zrodlo_id,gestosc_g_ml,pomijalny,zrodlo_nazwa,kcal,bialko,tluszcz,weglowodany
maka_pszenna,mąka pszenna,mąka|mąki|mąką|mąka pszenna|mąki pszennej|mąką pszenną|mąka tortowa|mąki tortowej|mąka krupczatka|mąki krupczatki|krupczatka|krupczatki|mąka chlebowa|mąki chlebowej|mąka pszenna chlebowa|mąki pszennej chlebowej|mąka poznańska|mąki poznańskiej|mąka luksusowa|mąki luksusowej,ciqual,9435,0.56,0,Farine de blé tendre ou froment T65,346,10,1,71.5
maka_pszenna_razowa,mąka pszenna razowa,mąka razowa|mąki razowej|mąka pszenna razowa|mąki pszennej razowej|mąka pełnoziarnista|mąki pełnoziarnistej|mąka graham|mąki graham,ciqual,9415,0.52,0,Farine de blé tendre ou froment T150,342,11.4,1.52,64.9
maka_zytnia,mąka żytnia,mąka żytnia|mąki żytniej|mąką żytnią|mąka żytnia razowa|mąki żytniej razowej,ciqual,9532,0.5,0,Farine de seigle T85,345,9.82,1.33,68.7
maka_ziemniaczana,mąka ziemniaczana,mąka ziemniaczana|mąki ziemniaczanej|mąką ziemniaczaną|skrobia ziemniaczana|skrobi ziemniaczanej,ciqual,4090,0.65,0,Fécule de pomme de terre,348,0,0.2,86.3
maka_kukurydziana,mąka kukurydziana,mąka kukurydziana|mąki kukurydzianej|kaszka kukurydziana|kaszki kukurydzianej,ciqual,9545,0.6,0,Farine de maïs,362,5.59,1.39,80.9
skrobia_kukurydziana,skrobia kukurydziana,skrobia kukurydziana|skrobi kukurydzianej|maizena|maizeny,ciqual,9510,0.55,0,Amidon de maïs ou fécule de maïs,365,0.26,0.05,90.4
maka_gryczana,mąka gryczana,mąka gryczana|mąki gryczanej,ciqual,9540,0.5,0,Farine de sarrasin,348,11.5,2.19,68.4
cukier,cukier,cukier|cukru|cukrem|cukier biały|cukru białego|cukier kryształ|cukru kryształu|drobny cukier|drobnego cukru|cukier drobny,ciqual,31016,0.85,0,Sucre blanc,399,0,0,99.7
cukier_trzcinowy,cukier trzcinowy,cukier trzcinowy|cukru trzcinowego|cukier brązowy|cukru brązowego,ciqual,31017,0.85,0,Sucre roux,393,0.12,0,98.1
cukier_puder,cukier puder,cukier puder|cukru pudru|cukrem pudrem|cukier w pudrze,usda,169656,0.51,0,"Sugars, powdered",389,0,0,99.77
cukier_waniliowy,cukier waniliowy,cukier waniliowy|cukru waniliowego|cukier wanilinowy|cukru wanilinowego,ciqual,31044,0.85,0,Sucre vanillé,397,0.1,0.33,98.6
miod,miód,miód|miodu|miodem|miód pszczeli|miodu pszczelego,ciqual,31008,1.42,0,Miel,331,0.65,0,82.1
proszek_do_pieczenia,proszek do pieczenia,proszek do pieczenia|proszku do pieczenia,ciqual,11046,0.9,0,Levure chimique ou poudre à lever,108,0.1,0,26.9
soda,soda oczyszczona,soda oczyszczona|sody oczyszczonej|soda|sody,ciqual,11017,1.0,1,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)",0,0,0,0
drozdze,drożdże świeże,drożdże|drożdży|drożdże świeże|drożdży świeżych|świeżych drożdży,ciqual,11010,,0,Levure de boulanger fraîche,115,8.4,1.9,11.9
drozdze_suszone,drożdże suszone,drożdże suszone|drożdży suszonych|drożdże instant|drożdży instant|suszonych drożdży,ciqual,11045,0.6,0,Levure de boulanger déshydratée,341,42.7,6.56,14.3
kakao,kakao,kakao|kakao naturalne|ciemne kakao|kakao gorzkie,ciqual,18100,0.36,0,"Cacao, sans sucres ajoutés, poudre soluble",387,22.4,20.6,11.6
czekolada_gorzka,czekolada gorzka,czekolada|czekolady|czekolada gorzka|czekolady gorzkiej|gorzka czekolada|gorzkiej czekolady|czekolada deserowa|czekolady deserowej,ciqual,31005,,0,"Chocolat noir 50 % de cacao environ, tablette",521,5.98,29.6,53
zelatyna,żelatyna,żelatyna|żelatyny|żelatyną,ciqual,11007,0.7,0,"Gélatine, sèche",348,86.9,0.1,0
sol,sól,sól|soli|solą|sól kuchenna|soli kuchennej|sól morska|soli morskiej|sól himalajska,ciqual,11017,1.2,1,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)",0,0,0,0
pieprz,pieprz,pieprz|pieprzu|pieprz czarny|pieprzu czarnego|czarny pieprz|czarnego pieprzu|pieprz mielony|pieprzu mielonego|pieprz ziołowy,ciqual,11015,0.5,1,"Poivre noir, poudre",331,13.3,7.5,39.9
papryka_slodka_mielona,papryka słodka mielona,papryka słodka|papryki słodkiej|papryka mielona|papryki mielonej|papryka wędzona|papryki wędzonej|papryka ostra|papryki ostrej|słodka papryka|słodkiej papryki,ciqual,11049,0.45,1,"Paprika, poudre",318,14.1,12.9,18.8
majeranek,majeranek,majeranek|majeranku|majerankiem,ciqual,11034,0.2,1,"Marjolaine, séchée",276,12.7,7.04,20.3
oregano,oregano,oregano,ciqual,11035,0.2,1,"Origan, séché",265,9,4.28,26.4
kminek,kminek,kminek|kminku|kmin rzymski|kminu rzymskiego|kumin,ciqual,11042,0.4,1,"Cumin, graine",427,17.8,22.3,33.7
cynamon,cynamon,cynamon|cynamonu|cynamonem,ciqual,11025,0.5,1,"Cannelle, poudre",243,3.99,1.24,27.5
galka_muszkatolowa,gałka muszkatołowa,gałka muszkatołowa|gałki muszkatołowej,ciqual,11048,0.5,1,Noix de muscade,506,5.84,36.3,27.4
gozdziki,goździki,goździki|goździków|goździk,ciqual,11052,,1,Clou de girofle,335,5.97,13,31.6
lisc_laurowy,liść laurowy,liść laurowy|liście laurowe|liści laurowych|liścia laurowego|listek laurowy|listki laurowe|liść bobkowy,ciqual,11053,,1,"Laurier, feuille",353,7.61,8.36,48.6
ziele_angielskie,ziele angielskie,ziele angielskie|ziela angielskiego|ziarna ziela angielskiego|ziaren ziela angielskiego,usda,171315,,1,"Spices, allspice, ground",263,6.09,8.69,72.12
imbir,imbir świeży,imbir|imbiru|imbir świeży|świeży imbir|świeżego imbiru,ciqual,11074,,0,"Gingembre, racine fraîche",33.3,1.1,1.1,3.4
imbir_mielony,imbir mielony,imbir mielony|imbiru mielonego,ciqual,11006,0.5,1,"Gingembre, poudre",335,8.98,4.24,58.3
chili,papryczka chili,chili|papryczka chili|papryczki chili|papryczka|papryczki,ciqual,20151,,0,"Piment, cru",37.4,1.87,0.44,5.75
natka,natka pietruszki,natka|natki|natka pietruszki|natki pietruszki|natką pietruszki|pietruszka natka|zielona pietruszka|zielonej pietruszki,ciqual,11014,,1,"Persil, frais",42.5,2.97,0.63,4.1
koperek,koperek,koperek|koperku|koperkiem|koper|kopru,ciqual,11093,,1,"Aneth, frais",48.2,3.93,1.1,3.9
szczypiorek,szczypiorek,szczypiorek|szczypiorku|szczypiorkiem|szczypior|szczypioru,ciqual,11003,,1,"Ciboule ou ciboulette, fraîche",30.8,2.55,0.46,2.85
koper_suszony,koper suszony,koper suszony|suszony koperek|koperek suszony,ciqual,11063,0.2,1,"Aneth, séché",315,20,4.36,42.2
musztarda,musztarda,musztarda|musztardy|musztardą|musztarda sarepska|musztardy sarepskiej|musztarda dijon|musztardy dijon,ciqual,11013,1.05,0,Moutarde,151,6.92,11.2,4.33
chrzan,chrzan,chrzan|chrzanu|chrzan tarty|chrzanu tartego,usda,173472,1.0,0,"Horseradish, prepared",48,1.18,0.69,11.29
ocet,ocet,ocet|octu|octem|ocet spirytusowy|octu spirytusowego|ocet jabłkowy|octu jabłkowego|ocet winny|octu winnego,ciqual,11018,1.0,0,Vinaigre,22.5,0.04,0.1,0.95
majonez,majonez,majonez|majonezu|majonezem,usda,171009,0.92,0,"Salad dressing, mayonnaise, regular",680,0.96,74.85,0.57
ketchup,ketchup,ketchup|ketchupu,ciqual,11008,1.1,0,"Ketchup, préemballé",108,1.23,0.16,23.7
koncentrat_pomidorowy,koncentrat pomidorowy,koncentrat pomidorowy|koncentratu pomidorowego|koncentrat|koncentratu|przecier pomidorowy|przecieru pomidorowego,ciqual,20068,1.1,0,"Tomate, concentré, appertisé",99.2,4.4,0.53,17.1
passata,passata,passata|passaty|pomidory przecierane|pomidorów przecieranych|przecier z pomidorów|przecieru z pomidorów,ciqual,20260,1.05,0,"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",45.5,2.05,0.2,7.57
