PASS poziome/pojedyncze light 320 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 320 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 320 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 320 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 360 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 360 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 360 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 360 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 390 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 390 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
ZOOM_TAB_OK zdjecia-poziome/pojedyncze 1/1
PASS poziome/pojedyncze light 390 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 390 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 414 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 414 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 414 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 414 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 768 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 768 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 768 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 768 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 1440 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 1440 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
ZOOM_TAB_OK zdjecia-poziome/pojedyncze 1/1
PASS poziome/pojedyncze light 1440 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze light 1440 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 320 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 320 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 320 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 320 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 360 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 360 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 360 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 360 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 390 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 390 16 100 Tab 1/1, Enter/Escape, kliknięcie, dotyk
ZOOM_TAB_OK zdjecia-poziome/pojedyncze 1/1
PASS poziome/pojedyncze dark 390 16 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 390 32 140 Tab 1/1, Enter/Escape, kliknięcie, dotyk
PASS poziome/pojedyncze dark 414 16 70 Tab 1/1, Enter/Escape, kliknięcie, dotyk
