
### Tryb jasny

| Para | Kontrast | Próg | Wynik | Gdzie |
|---|---|---|---|---|
| ink / surface | 14.21:1 | 4.5:1 | przechodzi | tekst podstawowy na tle strony |
| ink / surface-raised | 15.30:1 | 4.5:1 | przechodzi | tekst podstawowy na karcie |
| ink / surface-sunken | 12.90:1 | 4.5:1 | przechodzi | tekst w polu formularza |
| ink / surface-brand-wash | 12.90:1 | 4.5:1 | przechodzi | tekst na tle sekcji marki (hero, pasek zachęty) |
| ink-muted / surface | 7.01:1 | 4.5:1 | przechodzi | metadane na tle strony |
| ink-muted / surface-raised | 7.54:1 | 4.5:1 | przechodzi | metadane na karcie |
| ink-muted / surface-sunken | 6.36:1 | 4.5:1 | przechodzi | plakietka cicha: tekst na wgłębionym tle |
| ink-muted / surface-brand-wash | 6.36:1 | 4.5:1 | przechodzi | metadane na tle sekcji marki |
| brand / surface | 5.31:1 | 4.5:1 | przechodzi | link i tekst marki na tle strony |
| brand / surface-raised | 5.72:1 | 4.5:1 | przechodzi | link i tekst marki na karcie |
| brand / surface-sunken | 4.83:1 | 4.5:1 | przechodzi | link marki w polu/wgłębieniu |
| brand / surface-brand-wash | 4.83:1 | 4.5:1 | przechodzi | link marki na tle sekcji marki |
| ink-inverse / brand-solid | 5.72:1 | 4.5:1 | przechodzi | biały napis na przycisku głównym |
| ink-inverse / brand-solid-hover | 8.23:1 | 4.5:1 | przechodzi | biały napis na przycisku głównym, najechanie |
| brand-solid / surface | 5.31:1 | 3.0:1 | przechodzi | obrys przycisku głównego wobec tła strony |
| brand-tint-ink / brand-tint | 6.67:1 | 4.5:1 | przechodzi | bieżąca pozycja nawigacji |
| accent / surface | 5.80:1 | 4.5:1 | przechodzi | tekst akcentu na tle strony |
| accent / surface-raised | 6.24:1 | 4.5:1 | przechodzi | tekst akcentu na karcie |
| accent-tint-ink / accent-tint | 6.53:1 | 4.5:1 | przechodzi | plakietka Ugotowałem |
| danger / surface | 6.07:1 | 4.5:1 | przechodzi | tekst błędu na tle strony |
| danger / surface-raised | 6.54:1 | 4.5:1 | przechodzi | tekst błędu na karcie |
