t;rdzenie_zajete_razem;rdzenie_stanowiska;rdzenie_obce;load1;psi_cpu_some_avg10
10:14:44;18.27;0.00;18.27;22.09;11.63
10:14:45;16.26;0.00;16.26;22.09;13.69
10:14:46;16.06;0.00;16.06;22.09;13.69
10:14:47;17.59;0.00;17.59;23.36;13.56
10:14:48;18.52;0.00;18.52;23.36;13.56
10:14:49;18.31;0.00;18.31;23.36;15.64
10:14:50;18.99;0.00;18.99;23.36;17.51
10:14:51;17.35;0.00;17.35;23.36;17.51
10:14:52;16.17;0.00;16.17;23.09;16.87
10:14:53;16.42;0.00;16.42;23.09;16.87
10:14:55;18.91;0.00;18.91;23.09;17.98
10:14:56;18.96;0.00;18.96;23.09;17.98
10:14:57;18.23;0.15;18.08;23.09;19.07
10:14:58;19.58;0.00;19.58;25.25;19.07
10:14:59;17.96;0.06;17.90;25.25;21.23
10:15:00;19.81;0.00;19.81;25.25;21.23
10:15:01;20.59;0.00;20.59;25.25;23.73
10:15:02;22.16;0.00;22.16;25.25;23.73
10:15:03;21.37;0.00;21.37;26.83;29.57
10:15:04;20.93;0.00;20.93;26.83;29.57
10:15:05;20.59;0.00;20.59;26.83;33.27
10:15:06;21.51;0.00;21.51;26.83;33.27
10:15:07;21.64;0.00;21.64;26.83;36.30
10:15:08;21.90;0.00;21.90;27.88;36.30
10:15:09;21.71;0.00;21.71;27.88;38.24
10:15:10;21.21;0.00;21.21;27.88;38.24
10:15:11;21.31;0.00;21.31;27.88;40.19
10:15:12;21.62;0.00;21.62;27.88;40.19
10:15:13;21.56;0.00;21.56;29.82;42.69
10:15:14;21.43;0.00;21.43;29.82;42.69
10:15:15;20.48;0.00;20.48;29.82;44.74
10:15:16;20.97;0.00;20.97;29.82;44.74
10:15:17;21.03;0.00;21.03;29.82;44.97
10:15:18;21.34;0.00;21.34;31.51;44.97
10:15:19;20.34;0.00;20.34;31.51;46.06
10:15:20;19.51;0.00;19.51;31.51;46.06
10:15:21;19.74;0.00;19.74;31.51;45.87
10:15:22;20.16;0.00;20.16;32.83;45.87
10:15:23;19.60;0.00;19.60;32.83;45.53
10:15:24;20.04;0.00;20.04;32.83;44.89
10:15:26;19.89;0.01;19.88;32.83;44.89
10:15:27;16.87;0.00;16.87;32.83;41.46
10:15:28;17.82;0.00;17.82;31.64;41.46
10:15:29;17.30;0.05;17.25;31.64;36.31
10:15:30;16.01;0.00;16.01;31.64;36.31
10:15:31;13.88;0.00;13.88;31.64;31.36
10:15:32;16.70;0.00;16.70;31.64;31.36
10:15:33;18.13;0.00;18.13;31.27;28.94
10:15:34;18.01;0.00;18.01;31.27;28.94
10:15:35;18.24;0.00;18.24;31.27;27.86
10:15:36;17.55;0.00;17.55;31.27;27.86
10:15:37;11.99;0.00;11.99;31.27;24.26
10:15:38;15.97;0.00;15.97;29.41;24.26
10:15:39;18.32;0.00;18.32;29.41;22.22
10:15:40;17.35;0.00;17.35;29.41;22.22
10:15:41;17.57;0.00;17.57;29.41;20.37
10:15:42;17.88;0.00;17.88;29.41;20.37
10:15:43;16.31;0.00;16.31;29.22;19.58
10:15:44;14.67;0.00;14.67;29.22;19.58
10:15:45;17.02;0.00;17.02;29.22;18.02
10:15:46;18.69;0.00;18.69;29.22;18.02
10:15:47;17.25;0.00;17.25;29.22;18.02
10:15:48;16.85;0.00;16.85;27.44;18.02
10:15:49;16.75;0.00;16.75;27.44;15.84
10:15:50;11.10;0.00;11.10;27.44;15.84
10:15:51;14.77;0.00;14.77;27.44;13.69
10:15:52;16.29;0.00;16.29;27.44;13.69
10:15:53;16.47;0.00;16.47;26.28;13.20
10:15:54;17.26;0.00;17.26;26.28;13.20
10:15:55;17.00;0.00;17.00;26.28;12.80
10:15:56;14.89;0.00;14.89;26.28;12.80
10:15:57;12.29;0.14;12.15;26.28;11.93
10:15:58;15.55;0.00;15.55;25.94;11.93
10:15:59;18.42;0.06;18.36;25.94;11.04
10:16:00;18.40;0.00;18.40;25.94;11.04
10:16:01;17.84;0.00;17.84;25.94;12.84
10:16:02;17.53;0.00;17.53;25.30;12.84
10:16:03;15.71;0.00;15.71;25.30;12.69
10:16:04;12.65;0.00;12.65;25.30;12.69
10:16:05;15.24;0.00;15.24;25.30;11.11
10:16:06;17.28;0.00;17.28;25.30;11.11
10:16:07;17.42;0.00;17.42;24.24;10.73
10:16:08;18.18;0.00;18.18;24.24;10.73
10:16:10;17.92;0.00;17.92;24.24;11.32
10:16:11;16.28;0.00;16.28;24.24;11.32
10:16:12;15.52;0.00;15.52;24.24;11.62
10:16:13;17.89;0.00;17.89;25.42;11.87
10:16:14;18.34;0.00;18.34;25.42;11.87
10:16:15;18.07;0.00;18.07;25.42;13.34
10:16:16;18.61;0.00;18.61;25.42;13.34
